
ids 	 dl_pp_time 	 du_pp_time 	 fl_pp_time 	 fu_pp_time 	 dl_move_time 	 du_move_time 	 fl_move_time 	 fu_move_time 	 dl_num_of_shots 	 fl_num_of_shots 	 du_num_of_shots 	 fu_num_of_shots 	 dl_num_of_moves 	 fl_num_of_moves 	 du_num_of_moves 	 fu_num_of_moves 	 du_excess_shots 	 fu_excess_shots 	 du_acc 	 fu_acc 	 dl_acc 	 fl_acc 	 du_eff_acc 	 fu_eff_acc 	 dl_wps 	 du_wps 	 fl_wps 	 fu_wps 	 tol_preplan_time 	 tol_movement_time 	 tol_num_of_moves 	 tol_excess_moves 	 tol_accuracy 	 tol_efficient_accuracy 	 tol_weighted_performance.score 	 mathScores 
 GAMAR11006 	 8.09 	 7.31 	 5.4 	 6.56 	 37.1 	 29.81 	 5.01 	 55.13 	 5 	 2 	 6 	 6 	 3 	 0 	 3 	 4 	 1 	 3 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4086.17 	 11004.75 	 63 	 16 	 8 	 5 	 12 	48
 GAMAR11002 	 15.09 	 4.7 	 13.59 	 13.77 	 16.2 	 66.93 	 17.67 	 19.67 	 2 	 3 	 5 	 3 	 1 	 4 	 12 	 4 	 2 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4532.67 	 13706.58 	 71 	 24 	 5 	 1 	 5 	12
 GAMAR11015 	 5.48 	 2.3 	 2.8 	 9.84 	 14.12 	 3.53 	 5.21 	 39 	 4 	 2 	 2 	 5 	 2 	 2 	 0 	 9 	 0 	 2 	 1 	 1 	 1 	 1 	 1 	 0 	 4 	 2 	 2 	 0 	 3868 	 9133.67 	 55 	 8 	 10 	 8 	 26 	43
 GAMAR11010 	 1.53 	 13.97 	 1.46 	 14.66 	 16.28 	 129.39 	 7.23 	 39.93 	 3 	 2 	 10 	 4 	 3 	 1 	 19 	 8 	 6 	 0 	 0 	 1 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 4 	 1745.33 	 10493.75 	 62 	 15 	 10 	 5 	 16 	3
 JOTON15009 	 4.6 	 12.31 	 24.1 	 10.68 	 4.53 	 46.26 	 13.71 	 57.28 	 2 	 2 	 4 	 5 	 2 	 6 	 13 	 14 	 2 	 0 	 1 	 1 	 1 	 0 	 0 	 1 	 2 	 0 	 0 	NA	 3506.08 	 11018.08 	 55 	 8 	 9 	 6 	 19 	39
 GAMAR11007 	 2.4 	 14.52 	 3.66 	 6.41 	 17.11 	 43.37 	 8.86 	 67.91 	 2 	 3 	 4 	 11 	 0 	 4 	 17 	 11 	 2 	 7 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3013.33 	 10701.33 	 53 	 10 	 10 	 5 	 17 	34
 MOBAU12010 	 1 	 7.1 	 6.78 	 5.2 	 8.63 	 16.69 	 13.57 	 22.65 	 3 	 4 	 5 	 5 	 0 	 0 	 0 	 0 	 3 	 3 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3956.92 	 13989.58 	 59 	 13 	 7 	 1 	 4 	NA
 GAMAR11016 	 4.73 	 13.1 	 1.93 	 4.33 	 30.95 	 15.86 	 11.57 	 121.79 	 4 	 3 	 3 	 14 	 9 	 2 	 7 	 21 	 1 	 9 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 6495.67 	 9168.5 	 50 	 9 	 8 	 6 	 18 	13
 JOTON15003 	 4.94 	 4.72 	 3.23 	 19.1 	 19.72 	 8.44 	 8.82 	 38.32 	 4 	 3 	 3 	 4 	 3 	 4 	 3 	 10 	 0 	 0 	 1 	 1 	 1 	 1 	 1 	 1 	 4 	 3 	 3 	 4 	 2674.75 	 9951.25 	 60 	 13 	 12 	 6 	 17 	50
 GAMAR11009 	 6.89 	NA	 27.62 	 45.76 	NA	 51.48 	 5.68 	 26.84 	 5 	 2 	 4 	 4 	 8 	 8 	 20 	 16 	 1 	 2 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4235.58 	 13421.33 	 71 	 24 	 4 	 3 	 5 	19
 JOTON15014 	 6.6 	 28.32 	 12.53 	 5.46 	 3.13 	 97.32 	 10.58 	 100.14 	 2 	 3 	 9 	 6 	 3 	 5 	 25 	 21 	 5 	 1 	 1 	 1 	 1 	 1 	 0 	 0 	 2 	 0 	 3 	 0 	 2724.67 	 11496.58 	 67 	 20 	 7 	 6 	 19 	47
